iter	Passed	Remaining
0	0	285
1	0	277
2	0	278
3	1	267
4	1	279
5	1	277
6	1	272
7	2	267
8	2	263
9	2	260
10	2	259
11	3	258
12	3	258
13	3	260
14	4	263
15	4	265
16	4	265
17	4	264
18	5	262
19	5	263
20	5	263
21	6	292
22	6	291
23	7	290
24	7	288
25	7	290
26	8	289
27	8	289
28	8	289
29	8	287
30	9	289
31	9	288
32	9	289
33	10	287
34	10	286
35	10	285
36	10	281
37	11	281
38	11	279
39	11	279
40	11	280
41	12	279
42	12	278
43	12	279
44	13	277
45	13	276
46	13	279
47	14	278
48	14	278
49	14	277
50	14	277
51	15	277
52	15	277
53	15	276
54	16	276
55	16	275
56	16	274
57	16	273
58	17	273
59	17	273
60	17	272
61	17	272
62	18	271
63	18	270
64	18	269
65	19	269
66	19	268
67	19	268
68	19	269
69	20	268
70	20	268
71	20	269
72	21	268
73	21	267
74	21	267
75	22	267
76	22	267
77	22	266
78	22	266
79	23	265
80	23	264
81	23	264
82	23	263
83	24	262
84	24	262
85	24	261
86	24	261
87	25	260
88	25	260
89	25	261
90	26	260
91	26	260
92	26	259
93	26	259
94	27	259
95	27	258
96	27	259
97	28	258
98	28	258
99	28	256
100	28	256
101	29	255
102	29	255
103	29	254
104	29	254
105	30	254
106	30	253
107	30	253
108	30	252
109	31	253
110	31	252
111	31	252
112	32	252
113	32	252
114	32	251
115	32	251
116	33	251
117	33	251
118	33	250
119	34	250
120	34	249
121	34	248
122	34	248
123	35	247
124	35	246
125	35	246
126	35	245
127	36	246
128	36	245
129	36	245
130	36	244
131	37	244
132	37	243
133	37	243
134	37	243
135	38	243
136	38	242
137	38	242
138	39	242
139	39	241
140	39	241
141	39	241
142	40	240
143	40	240
144	40	240
145	40	239
146	41	239
147	41	239
148	41	239
149	42	238
150	42	238
151	42	237
152	42	237
153	43	236
154	43	236
155	43	236
156	43	235
157	44	235
158	44	235
159	44	235
160	45	235
161	45	235
162	45	235
163	46	234
164	46	234
165	46	234
166	46	233
167	47	233
168	47	232
169	47	232
170	47	232
171	48	232
172	48	232
173	48	231
174	49	231
175	49	230
176	49	230
177	49	230
178	50	230
179	50	229
180	50	229
181	51	229
182	51	229
183	51	229
184	51	228
185	52	228
186	52	228
187	52	227
188	53	227
189	53	227
190	53	227
191	53	227
192	54	227
193	54	226
194	54	226
195	55	226
